53: Date: 15th Oct, Values={'ma10': 863.8, 'ma20': 924.75, 'ma50': 870.48, 'ma200': 911.93}
54: Date: 14th Oct, Values={'ma10': 829.2, 'ma20': 953.65, 'ma50': 862.76, 'ma200': 911.52}
55: Date: 13th Oct, Values={'ma10': 806.9, 'ma20': 986.25, 'ma50': 860.9, 'ma200': 911.77}
56: Date: 10th Oct, Values={'ma10': 765.7, 'ma20': 1004.6, 'ma50': 857.24, 'ma200': 911.975}
57: Date: 9th Oct, Values={'ma10': 740.2, 'ma20': 1015.95, 'ma50': 849.28, 'ma200': 912.21}
58: Date: 8th Oct, Values={'ma10': 743.8, 'ma20': 1031.5, 'ma50': 841.02, 'ma200': 913.225}
59: Date: 7th Oct, Values={'ma10': 773.8, 'ma20': 1041.7, 'ma50': 837.32, 'ma200': 914.05}
60: Date: 6th Oct, Values={'ma10': 805.4, 'ma20': 1047.15, 'ma50': 838.46, 'ma200': 912.93}
61: Date: 3rd Oct, Values={'ma10': 853.1, 'ma20': 1046.1, 'ma50': 841.52, 'ma200': 910.635}
62: Date: 1st Oct, Values={'ma10': 907.3, 'ma20': 1047.7, 'ma50': 844.1, 'ma200': 908.48}
63: Date: 30th Sep, Values={'ma10': 985.7, 'ma20': 1065.6, 'ma50': 853.12, 'ma200': 908.04}
64: Date: 29th Sep, Values={'ma10': 1078.1, 'ma20': 1084.9, 'ma50': 866.76, 'ma200': 909.23}
65: Date: 26th Sep, Values={'ma10': 1165.6, 'ma20': 1099.05, 'ma50': 884.48, 'ma200': 910.365}
66: Date: 25th Sep, Values={'ma10': 1243.5, 'ma20': 1102.35, 'ma50': 902.44, 'ma200': 910.6}
67: Date: 24th Sep, Values={'ma10': 1291.7, 'ma20': 1090.95, 'ma50': 912.74, 'ma200': 908.725}
68: Date: 23rd Sep, Values={'ma10': 1319.2, 'ma20': 1075.35, 'ma50': 914.04, 'ma200': 906.085}
69: Date: 22nd Sep, Values={'ma10': 1309.6, 'ma20': 1066.65, 'ma50': 911.58, 'ma200': 902.045}
