Date,Up 4-5%+ today,Down 4-5%+ today,Up 20%+ in 5d,Down 20%+ in 5d,Above 20dma,Below 20dma,Above 50dma,Below 50dma,Above 200dma,Below 200dma
4th Feb 2025,159,26,16,3,658,1329,417,1570,649,1339
3rd Feb 2025,51,234,31,3,465,1524,331,1658,577,1413
1st Feb 2025,159,58,16,4,639,1346,373,1612,638,1348
31st Jan 2025,216,32,4,9,573,1413,338,1648,620,1367
30th Jan 2025,100,66,1,18,323,1662,262,1723,534,1452
29th Jan 2025,435,32,1,17,290,1694,243,1741,521,1464
28th Jan 2025,50,218,1,44,142,1842,169,1815,430,1555
27th Jan 2025,12,724,2,31,159,1828,196,1791,465,1523
24th Jan 2025,22,169,3,9,287,1696,302,1681,606,1378
23rd Jan 2025,88,33,3,8,414,1568,381,1601,693,1290
22nd Jan 2025,17,140,7,3,330,1652,337,1645,665,1318
21st Jan 2025,29,120,13,1,429,1553,403,1579,722,1261
20th Jan 2025,156,28,31,2,617,1367,504,1480,828,1157
17th Jan 2025,82,21,9,1,448,1533,424,1557,765,1217
16th Jan 2025,152,13,5,2,395,1584,394,1586,752,1229
15th Jan 2025,90,34,4,6,247,1732,315,1664,703,1277
14th Jan 2025,280,17,4,5,210,1768,297,1681,686,1293
13th Jan 2025,14,880,4,8,162,1817,254,1725,596,1384
10th Jan 2025,19,244,6,6,291,1686,416,1561,788,1190
9th Jan 2025,32,87,7,3,460,1517,559,1418,916,1062
8th Jan 2025,51,38,13,2,567,1412,652,1327,995,985
7th Jan 2025,192,13,22,2,659,1319,731,1247,1051,928
6th Jan 2025,24,643,11,3,442,1536,578,1400,957,1022
3rd Jan 2025,96,10,20,2,1001,975,927,1050,1187,791
2nd Jan 2025,107,15,15,3,1023,953,915,1062,1175,803
1st Jan 2025,165,14,11,2,780,1152,778,1155,1075,858
31st Dec 2024,94,24,11,3,581,1392,686,1288,1053,922
30th Dec 2024,68,98,11,3,490,1483,631,1343,1018,957
27th Dec 2024,73,27,11,1,541,1424,691,1275,1061,906
26th Dec 2024,63,42,11,1,493,1471,664,1301,1052,914
24th Dec 2024,89,18,14,2,540,1424,682,1283,1080,886
23rd Dec 2024,54,65,12,2,509,1458,667,1301,1066,903
20th Dec 2024,29,208,13,3,542,1419,718,1244,1086,877
19th Dec 2024,77,28,20,1,845,1116,932,1030,1224,739
18th Dec 2024,51,49,16,0,906,1052,1012,947,1256,704
17th Dec 2024,86,29,19,1,1137,820,1150,808,1310,649
16th Dec 2024,134,19,22,2,1342,617,1259,701,1350,611
13th Dec 2024,75,17,27,3,1298,658,1236,722,1332,627
12th Dec 2024,54,47,26,0,1396,560,1266,691,1362,596
11th Dec 2024,107,17,33,0,1587,369,1394,563,1402,556
10th Dec 2024,134,29,36,0,1600,357,1354,604,1390,569
9th Dec 2024,148,15,41,2,1608,350,1348,611,1370,590
6th Dec 2024,132,8,39,0,1602,352,1326,629,1357,599
5th Dec 2024,91,13,30,0,1553,401,1262,693,1336,620
4th Dec 2024,141,15,40,0,1561,393,1231,724,1322,634
3rd Dec 2024,154,12,38,0,1540,414,1158,797,1273,683
2nd Dec 2024,190,16,44,1,1353,603,970,987,1212,746
29th Nov 2024,99,15,41,0,1230,723,854,1100,1164,791
28th Nov 2024,103,11,33,0,1101,852,788,1167,1115,841
27th Nov 2024,165,14,20,2,1059,893,755,1198,1093,861
26th Nov 2024,143,24,21,4,852,1100,628,1325,1038,916
25th Nov 2024,184,17,20,6,741,1214,586,1370,1005,952
22nd Nov 2024,99,15,26,8,475,1475,464,1487,935,1017
21st Nov 2024,50,88,10,14,390,1561,416,1536,836,1117
19th Nov 2024,124,19,6,13,422,1529,467,1485,921,1032
18th Nov 2024,106,106,9,26,338,1616,393,1562,865,1091
14th Nov 2024,111,56,6,17,328,1656,389,1596,918,1068
13th Nov 2024,16,493,8,14,246,1738,342,1643,878,1108
12th Nov 2024,36,139,16,5,499,1485,535,1450,1090,896
11th Nov 2024,57,130,20,1,694,1291,668,1318,1182,805
8th Nov 2024,56,87,17,1,799,1184,745,1239,1235,750
7th Nov 2024,81,37,26,1,1099,886,861,1125,1308,679
6th Nov 2024,222,10,25,1,1248,737,912,1074,1317,670
5th Nov 2024,116,14,25,1,824,1160,704,1280,1214,772
4th Nov 2024,49,85,27,1,690,1296,640,1347,1184,804
