Date,Up 4-5%+ today,Down 4-5%+ today,Up 20%+ in 5d,Down 20%+ in 5d,Above 20dma,Below 20dma,Above 50dma,Below 50dma,Above 200dma,Below 200dma
7th Apr 26 2026,131,9,64,4,1093,1051,528,1616,423,1721
6th Apr 26 2026,222,13,24,5,931,1217,458,1690,409,1739
2nd Apr 26 2026,178,24,18,6,637,1511,369,1779,373,1775
1st Apr 26 2026,1144,9,11,6,481,1667,332,1816,381,1767
30th Mar 26 2026,31,746,6,39,195,1954,206,1943,310,1839
27th Mar 26 2026,33,642,8,12,287,1861,248,1900,360,1788
25th Mar 26 2026,217,18,6,6,483,1665,328,1820,393,1755
24th Mar 26 2026,293,27,7,8,271,1877,245,1903,350,1798
23rd Mar 26 2026,6,975,5,4,145,2004,167,1982,298,1851
20th Mar 26 2026,101,26,14,4,371,1777,322,1826,396,1752
19th Mar 26 2026,17,304,6,2,266,1882,250,1898,377,1771
18th Mar 26 2026,323,8,7,2,502,1646,393,1755,450,1698
17th Mar 26 2026,99,17,6,7,260,1888,303,1845,407,1741
16th Mar 26 2026,40,122,5,5,192,1957,255,1894,379,1770
13th Mar 26 2026,19,381,9,6,215,1933,295,1853,384,1764
12th Mar 26 2026,59,48,11,5,434,1714,420,1728,448,1700
11th Mar 26 2026,76,53,11,4,440,1709,430,1719,468,1681
10th Mar 26 2026,282,15,11,4,449,1699,441,1708,478,1671
9th Mar 26 2026,28,285,6,12,274,1874,335,1814,416,1733
6th Mar 26 2026,60,39,4,7,393,1755,453,1696,502,1647
5th Mar 26 2026,115,18,9,2,404,1744,471,1678,512,1637
4th Mar 26 2026,48,264,8,3,293,1855,404,1745,469,1680
2nd Mar 26 2026,61,265,6,4,445,1703,493,1656,563,1586
27th Feb 26 2026,44,59,8,1,692,1455,689,1459,669,1479
26th Feb 26 2026,68,20,9,5,834,1313,762,1386,705,1443
25th Feb 26 2026,56,44,5,4,788,1359,744,1404,698,1450
24th Feb 26 2026,25,95,9,3,701,1446,676,1472,686,1462
23rd Feb 26 2026,63,47,6,2,860,1288,786,1363,718,1431
20th Feb 26 2026,50,30,9,5,834,1313,774,1374,709,1439
19th Feb 26 2026,36,52,9,5,803,1344,758,1390,706,1442
18th Feb 26 2026,70,16,6,5,1095,1052,930,1218,774,1374
17th Feb 26 2026,111,18,8,3,1035,1112,869,1279,751,1397
16th Feb 26 2026,52,106,12,4,928,1220,781,1368,729,1420
13th Feb 26 2026,35,166,21,1,966,1181,794,1354,725,1423
12th Feb 26 2026,62,104,27,1,1315,832,1028,1120,792,1355
11th Feb 26 2026,93,65,15,2,1497,650,1122,1026,820,1328
10th Feb 26 2026,139,38,32,1,1576,570,1151,996,819,1328
9th Feb 26 2026,391,18,52,1,1518,630,1072,1077,806,1343
6th Feb 26 2026,59,75,29,3,1127,1020,774,1374,686,1462
5th Feb 26 2026,57,91,34,6,1162,985,780,1368,693,1455
4th Feb 26 2026,242,55,45,18,1349,798,845,1303,726,1422
3rd Feb 26 2026,529,12,28,18,1141,1007,748,1400,705,1443
2nd Feb 26 2026,77,76,16,19,452,1697,371,1778,533,1616
1st Feb 26 2026,59,238,8,4,436,1712,359,1789,494,1654
30th Jan 26 2026,171,98,14,6,670,1476,496,1650,603,1543
29th Jan 26 2026,141,62,24,5,534,1612,432,1714,571,1575
28th Jan 26 2026,350,20,12,6,538,1607,424,1721,558,1587
27th Jan 26 2026,100,74,4,10,308,1840,322,1826,485,1663
23rd Jan 26 2026,55,211,2,6,273,1872,295,1850,478,1667
22nd Jan 26 2026,183,55,3,4,364,1781,372,1773,547,1598
21st Jan 26 2026,58,148,21,2,231,1913,291,1853,488,1656
20th Jan 26 2026,30,377,25,1,255,1888,317,1826,523,1620
19th Jan 26 2026,43,90,29,2,450,1695,475,1670,625,1520
16th Jan 26 2026,72,31,27,2,535,1606,534,1607,673,1468
14th Jan 26 2026,83,21,7,1,523,1617,553,1587,687,1453
13th Jan 26 2026,71,17,5,1,485,1655,523,1617,675,1465
12th Jan 26 2026,61,74,6,3,424,1719,503,1640,667,1476
9th Jan 26 2026,17,105,4,3,428,1710,536,1602,685,1453
8th Jan 26 2026,15,140,7,3,667,1472,699,1440,770,1369
7th Jan 26 2026,68,18,14,3,1062,1077,915,1224,858,1281
6th Jan 26 2026,45,27,16,1,1025,1113,878,1260,842,1296
5th Jan 26 2026,64,38,15,1,1141,999,935,1205,867,1273
2nd Jan 26 2026,102,11,12,1,1318,819,954,1183,869,1268
1st Jan 26 2026,64,16,9,2,1077,1061,829,1309,815,1323
31st Dec 25 2025,84,15,7,2,1051,1085,806,1330,813,1323
30th Dec 25 2025,59,35,9,2,775,1359,687,1447,762,1372
29th Dec 25 2025,45,47,13,0,752,1386,715,1423,766,1372
26th Dec 25 2025,63,19,19,0,928,1207,766,1369,795,1340
24th Dec 25 2025,57,15,13,0,1082,1052,803,1331,813,1321
23rd Dec 25 2025,66,16,9,2,1131,1003,809,1325,820,1314
22nd Dec 25 2025,115,13,8,1,1014,1122,750,1386,803,1333
19th Dec 25 2025,91,17,9,1,701,1432,641,1492,760,1373
18th Dec 25 2025,40,31,11,1,492,1640,537,1595,716,1416
17th Dec 25 2025,33,56,13,1,495,1635,568,1562,724,1406
16th Dec 25 2025,38,29,14,0,624,1506,617,1513,756,1374
15th Dec 25 2025,79,21,16,1,746,1383,673,1456,778,1351
12th Dec 25 2025,100,11,9,3,697,1427,652,1473,760,1365
11th Dec 25 2025,77,16,5,3,503,1620,560,1563,725,1399
10th Dec 25 2025,53,29,7,2,388,1731,478,1641,709,1411
9th Dec 25 2025,134,15,1,2,425,1694,514,1605,714,1406
8th Dec 25 2025,18,243,3,3,320,1801,462,1659,686,1436
5th Dec 25 2025,32,36,3,3,541,1577,619,1499,783,1336
4th Dec 25 2025,31,28,3,4,532,1586,640,1478,791,1328
3rd Dec 25 2025,18,42,1,3,536,1581,638,1479,808,1310
2nd Dec 25 2025,28,34,5,2,648,1469,710,1407,827,1291
1st Dec 25 2025,64,38,6,3,729,1389,743,1376,853,1266
28th Nov 25 2025,56,20,2,3,755,1358,764,1350,859,1255
27th Nov 25 2025,53,20,2,3,741,1370,755,1357,854,1258
26th Nov 25 2025,84,13,3,2,747,1363,759,1352,868,1243
25th Nov 25 2025,71,13,5,3,556,1553,643,1468,816,1295
24th Nov 25 2025,35,136,6,6,516,1596,622,1491,794,1319
21st Nov 25 2025,31,35,6,4,605,1501,694,1414,849,1259
20th Nov 25 2025,39,24,9,4,761,1345,821,1286,888,1219
19th Nov 25 2025,42,42,7,3,789,1315,826,1279,906,1199
18th Nov 25 2025,39,37,12,3,776,1326,834,1269,907,1196
17th Nov 25 2025,96,49,11,2,942,1163,909,1197,954,1152
14th Nov 25 2025,75,44,12,2,873,1226,876,1224,931,1169
13th Nov 25 2025,71,48,12,2,854,1243,871,1227,958,1140
12th Nov 25 2025,104,28,8,2,888,1207,903,1193,966,1130
11th Nov 25 2025,68,53,7,8,743,1354,814,1284,925,1173
10th Nov 25 2025,82,88,11,7,744,1354,815,1284,927,1172
7th Nov 25 2025,74,38,11,2,670,1424,811,1283,925,1169
6th Nov 25 2025,45,146,13,2,607,1486,809,1284,912,1181
4th Nov 25 2025,39,28,15,0,882,1210,969,1123,1014,1078
3rd Nov 25 2025,99,37,17,0,1100,995,1084,1011,1056,1039
31st Oct 25 2025,44,30,12,0,980,1108,1017,1071,1025,1063
30th Oct 25 2025,51,23,10,0,1132,956,1098,990,1057,1031
29th Oct 25 2025,88,23,11,0,1168,919,1105,982,1068,1019
28th Oct 25 2025,61,29,13,1,1002,1090,999,1093,1029,1063
27th Oct 25 2025,79,35,19,1,1027,1071,1011,1087,1051,1047
24th Oct 25 2025,50,26,17,3,986,1106,975,1117,1015,1077
23rd Oct 25 2025,78,49,19,3,1073,1019,1015,1077,1040,1052
21st Oct 25 2025,55,2,22,0,1128,963,1029,1062,1046,1045
20th Oct 25 2025,95,43,14,2,942,1155,917,1180,1001,1096
17th Oct 25 2025,45,42,11,1,849,1240,861,1228,967,1122
16th Oct 25 2025,78,35,13,2,935,1151,922,1164,1000,1086
15th Oct 25 2025,89,28,13,2,832,1254,873,1213,966,1120
14th Oct 25 2025,44,66,24,3,680,1404,783,1301,928,1156
13th Oct 25 2025,55,44,18,4,860,1227,905,1182,993,1094
10th Oct 25 2025,86,26,20,3,1009,1073,977,1105,1032,1050
9th Oct 25 2025,91,39,32,5,913,1171,927,1157,1008,1076
8th Oct 25 2025,78,26,31,2,825,1256,879,1202,992,1089
7th Oct 25 2025,63,33,23,1,910,1169,934,1145,1008,1071
6th Oct 25 2025,83,35,19,1,940,1138,946,1132,1007,1071
3rd Oct 25 2025,128,13,11,1,910,1166,928,1148,1023,1054
1st Oct 25 2025,126,9,12,1,691,1382,789,1284,965,1109
30th Sep 25 2025,43,29,8,2,487,1580,616,1451,883,1185
29th Sep 25 2025,65,63,14,3,456,1613,624,1445,881,1189
26th Sep 25 2025,14,115,18,1,449,1612,614,1447,886,1176
25th Sep 25 2025,41,37,21,1,749,1311,896,1164,1011,1050
24th Sep 25 2025,54,29,19,2,944,1115,1058,1001,1074,986
23rd Sep 25 2025,67,24,21,2,1119,939,1160,898,1116,943
22nd Sep 25 2025,80,39,26,2,1217,846,1204,860,1157,907
19th Sep 25 2025,71,20,21,1,1399,659,1302,758,1179,881
18th Sep 25 2025,57,18,20,1,1447,610,1309,749,1173,885
17th Sep 25 2025,76,18,24,1,1461,593,1303,752,1169,886
16th Sep 25 2025,81,14,17,1,1399,655,1248,807,1140,915
15th Sep 25 2025,89,18,14,1,1314,743,1128,930,1091,967
12th Sep 25 2025,55,12,17,0,1218,835,1076,978,1057,997
11th Sep 25 2025,54,23,24,0,1221,832,1065,989,1045,1009
10th Sep 25 2025,94,20,18,0,1209,844,1053,1001,1048,1006
9th Sep 25 2025,69,27,25,0,1019,1033,913,1140,990,1063
8th Sep 25 2025,127,17,32,1,1006,1049,894,1162,998,1058
5th Sep 25 2025,87,12,27,1,907,1144,862,1190,958,1094
4th Sep 25 2025,51,30,19,2,946,1106,859,1194,976,1077
3rd Sep 25 2025,112,12,15,0,1049,1001,910,1141,992,1059
2nd Sep 25 2025,121,23,11,1,870,1179,787,1264,951,1100
1st Sep 25 2025,129,15,11,2,733,1319,704,1349,913,1140
29th Aug 25 2025,50,24,8,2,513,1535,574,1475,829,1220
28th Aug 25 2025,29,62,6,2,526,1521,591,1457,846,1202
26th Aug 25 2025,28,63,11,3,632,1410,690,1353,906,1137
25th Aug 25 2025,74,34,23,0,944,1101,893,1153,1005,1041
22nd Aug 25 2025,53,19,22,0,913,1128,898,1144,990,1052
21st Aug 25 2025,61,20,20,0,1024,1018,963,1080,1006,1037
20th Aug 25 2025,108,10,19,1,1009,1030,953,1087,1002,1038
19th Aug 25 2025,125,14,18,1,955,1083,904,1135,996,1043
18th Aug 25 2025,148,32,17,1,782,1259,806,1236,949,1093
14th Aug 25 2025,46,74,15,3,550,1485,643,1392,880,1156
13th Aug 25 2025,112,49,11,5,601,1434,683,1352,918,1118
12th Aug 25 2025,78,51,6,5,500,1535,617,1419,889,1147
11th Aug 25 2025,88,64,6,3,443,1592,604,1432,876,1160
8th Aug 25 2025,49,75,8,4,373,1664,551,1486,846,1191
7th Aug 25 2025,53,52,8,5,446,1591,639,1398,928,1109
6th Aug 25 2025,40,73,8,5,463,1572,642,1393,942,1093
5th Aug 25 2025,49,40,9,5,574,1458,735,1297,996,1036
4th Aug 25 2025,96,47,13,4,578,1455,781,1252,1022,1011
1st Aug 25 2025,35,118,10,0,446,1584,712,1318,976,1054
31st Jul 25 2025,53,47,10,1,579,1447,864,1162,1073,953
30th Jul 25 2025,93,33,10,1,679,1343,982,1040,1108,914
29th Jul 25 2025,119,18,10,1,610,1412,949,1072,1101,921
28th Jul 25 2025,38,118,10,4,495,1531,804,1222,1045,981
25th Jul 25 2025,24,89,10,3,634,1386,1004,1017,1133,888
24th Jul 25 2025,47,36,12,2,960,1061,1303,718,1265,755
23rd Jul 25 2025,53,28,15,2,1088,932,1358,662,1284,736
22nd Jul 25 2025,58,22,16,2,1044,974,1373,646,1277,742
21st Jul 25 2025,71,33,15,3,1135,887,1428,594,1289,733
18th Jul 25 2025,51,18,15,1,1159,858,1467,550,1305,712
17th Jul 25 2025,65,15,16,1,1327,689,1549,467,1332,684
16th Jul 25 2025,87,13,12,0,1332,684,1551,465,1319,697
15th Jul 25 2025,102,8,9,0,1256,760,1492,524,1286,730
14th Jul 25 2025,72,20,16,1,1001,1017,1359,659,1211,807
11th Jul 25 2025,43,15,6,0,991,1024,1394,621,1209,806
10th Jul 25 2025,68,10,11,1,1214,797,1501,510,1262,749
9th Jul 25 2025,77,8,10,1,1246,763,1504,506,1251,759
8th Jul 25 2025,57,15,13,1,1214,798,1488,524,1246,766
7th Jul 25 2025,65,27,19,1,1267,747,1515,499,1259,755
4th Jul 25 2025,65,15,18,1,1370,642,1566,446,1270,742
3rd Jul 25 2025,71,14,19,0,1355,655,1538,472,1255,755
2nd Jul 25 2025,55,20,21,0,1341,666,1528,479,1228,779
1st Jul 25 2025,81,21,27,0,1439,564,1562,441,1241,762
30th Jun 25 2025,114,16,29,0,1471,533,1567,437,1252,752
27th Jun 25 2025,89,13,23,0,1422,578,1533,467,1235,765
26th Jun 25 2025,63,12,22,0,1357,644,1512,489,1203,798
25th Jun 25 2025,153,6,10,0,1356,644,1509,491,1201,799
24th Jun 25 2025,95,15,5,1,1045,956,1346,654,1105,897
23rd Jun 25 2025,72,18,5,1,835,1168,1201,802,1059,945
20th Jun 25 2025,80,11,7,1,827,1171,1232,766,1044,955
19th Jun 25 2025,16,81,6,0,587,1411,1118,880,998,1001
18th Jun 25 2025,39,24,4,0,928,1068,1354,642,1113,884
17th Jun 25 2025,46,36,7,1,1016,980,1405,591,1146,851
16th Jun 25 2025,75,15,9,1,1245,754,1505,494,1189,811
13th Jun 25 2025,38,23,16,1,1186,809,1518,477,1162,834
12th Jun 25 2025,36,47,21,0,1423,571,1595,399,1218,777
11th Jun 25 2025,110,19,25,0,1644,348,1707,285,1294,699
10th Jun 25 2025,104,9,30,1,1638,354,1685,307,1274,719
9th Jun 25 2025,155,9,24,0,1625,370,1669,326,1251,745
6th Jun 25 2025,114,18,21,0,1492,501,1579,414,1171,823
5th Jun 25 2025,116,6,15,0,1453,540,1511,482,1123,871
4th Jun 25 2025,99,20,13,0,1373,619,1490,502,1091,902
3rd Jun 25 2025,70,23,17,0,1318,673,1480,511,1066,926
2nd Jun 25 2025,123,48,23,0,1424,567,1514,477,1066,926
30th May 25 2025,92,58,27,0,1440,548,1522,466,1063,926
29th May 25 2025,104,43,34,0,1507,480,1542,445,1100,888
28th May 25 2025,99,30,24,1,1545,441,1554,432,1081,906
27th May 25 2025,79,26,27,1,1589,396,1581,405,1088,898
26th May 25 2025,115,39,19,0,1631,357,1618,371,1071,918
23rd May 25 2025,83,29,23,1,1638,346,1609,376,1051,934
22nd May 25 2025,70,36,26,1,1617,367,1578,407,1012,973
21st May 25 2025,83,36,30,1,1680,303,1603,381,1019,965
20th May 25 2025,57,71,54,1,1653,330,1591,393,985,999
19th May 25 2025,179,29,80,0,1772,214,1694,293,1052,935
16th May 25 2025,190,26,157,0,1759,224,1651,333,999,985
15th May 25 2025,151,26,87,0,1714,268,1552,431,934,1049
14th May 25 2025,207,10,43,1,1702,279,1484,498,865,1117
13th May 25 2025,164,17,33,1,1596,385,1301,681,779,1203
12th May 25 2025,973,8,14,1,1456,527,1169,815,733,1251
9th May 25 2025,43,42,8,3,542,1439,648,1334,519,1463
8th May 25 2025,47,38,5,2,638,1345,682,1301,535,1447
7th May 25 2025,86,22,4,3,789,1193,804,1178,582,1400
6th May 25 2025,13,315,5,1,676,1305,708,1273,532,1449
5th May 25 2025,133,20,11,1,1071,911,940,1042,647,1335
2nd May 25 2025,40,31,6,3,819,1163,824,1158,600,1382
30th Apr 25 2025,16,104,7,4,877,1103,829,1151,603,1377
29th Apr 25 2025,55,25,10,1,1235,745,1046,934,663,1317
28th Apr 25 2025,62,36,17,1,1285,697,1075,907,676,1306
25th Apr 25 2025,19,356,17,0,1297,682,1043,936,655,1324
24th Apr 25 2025,86,26,28,1,1754,227,1416,565,776,1205
23rd Apr 25 2025,93,13,42,1,1776,205,1393,588,784,1197
22nd Apr 25 2025,134,14,73,1,1771,209,1382,598,767,1213
21st Apr 25 2025,186,10,102,1,1757,224,1300,681,740,1241
17th Apr 25 2025,86,12,41,1,1633,345,1109,869,656,1322
16th Apr 25 2025,146,13,68,1,1630,348,1045,933,614,1364
15th Apr 25 2025,445,6,16,0,1500,478,905,1073,563,1415
11th Apr 25 2025,311,4,6,3,911,1065,577,1399,446,1530
9th Apr 25 2025,40,92,6,18,508,1466,400,1574,361,1613
8th Apr 25 2025,261,12,7,8,564,1411,442,1533,376,1599
7th Apr 25 2025,5,822,13,17,300,1675,293,1682,303,1672
4th Apr 25 2025,29,464,22,8,798,1176,557,1417,446,1528
3rd Apr 25 2025,204,22,30,2,1417,557,879,1095,551,1423
2nd Apr 25 2025,160,10,11,1,1259,714,754,1219,507,1466
1st Apr 25 2025,296,33,7,3,1054,920,650,1324,444,1530
28th Mar 25 2025,52,60,9,2,899,1070,634,1335,482,1487
6th Apr 26 2026,232,15,24,6,939,1202,451,1690,408,1733
2nd Apr 26 2026,179,25,18,7,637,1507,368,1776,371,1773
1st Apr 26 2026,1140,10,11,7,480,1664,331,1813,379,1765
30th Mar 26 2026,31,743,6,39,194,1951,205,1940,308,1837
27th Mar 26 2026,33,640,8,13,286,1858,247,1897,358,1786
25th Mar 26 2026,217,19,6,7,481,1663,327,1817,391,1753
24th Mar 26 2026,293,28,7,9,269,1875,243,1901,348,1796
23rd Mar 26 2026,6,974,5,5,144,2001,166,1979,296,1849
20th Mar 26 2026,100,27,14,5,370,1774,320,1824,394,1750
19th Mar 26 2026,17,305,6,3,264,1880,249,1895,375,1769
18th Mar 26 2026,323,9,7,3,500,1644,390,1754,448,1696
17th Mar 26 2026,99,18,6,8,259,1885,302,1842,405,1739
16th Mar 26 2026,40,123,5,6,191,1954,254,1891,377,1768
13th Mar 26 2026,19,380,9,7,214,1930,294,1850,382,1762
12th Mar 26 2026,59,50,11,6,432,1712,419,1725,446,1698
11th Mar 26 2026,76,54,11,5,438,1707,429,1716,466,1679
10th Mar 26 2026,280,16,11,5,448,1696,438,1707,476,1669
9th Mar 26 2026,28,286,6,13,273,1871,334,1811,415,1730
6th Mar 26 2026,60,40,4,8,392,1752,452,1693,501,1644
5th Mar 26 2026,114,19,9,3,403,1741,469,1676,511,1634
4th Mar 26 2026,48,263,8,4,292,1852,403,1742,468,1677
2nd Mar 26 2026,61,264,6,4,443,1701,492,1653,562,1583
27th Feb 26 2026,44,61,8,1,689,1454,687,1457,668,1476
26th Feb 26 2026,67,21,9,5,832,1311,760,1384,704,1440
25th Feb 26 2026,56,45,5,4,787,1356,743,1401,697,1447
24th Feb 26 2026,25,95,9,3,701,1442,675,1469,685,1459
23rd Feb 26 2026,63,47,6,2,859,1285,785,1360,717,1428
20th Feb 26 2026,50,30,9,5,833,1310,773,1371,708,1436
19th Feb 26 2026,36,52,9,5,801,1342,757,1387,705,1439
18th Feb 26 2026,71,16,6,5,1095,1048,929,1215,773,1371
17th Feb 26 2026,110,18,8,3,1033,1110,868,1276,750,1394
16th Feb 26 2026,52,107,12,4,926,1218,780,1365,728,1417
13th Feb 26 2026,35,166,21,1,963,1180,794,1350,724,1420
12th Feb 26 2026,62,104,27,1,1311,832,1026,1118,791,1352
11th Feb 26 2026,92,64,14,2,1492,651,1120,1024,819,1325
10th Feb 26 2026,138,38,32,1,1574,568,1148,995,818,1325
9th Feb 26 2026,391,18,52,1,1515,629,1070,1075,805,1340
6th Feb 26 2026,59,75,29,3,1125,1018,772,1372,685,1459
5th Feb 26 2026,55,92,34,6,1161,982,779,1365,692,1452
4th Feb 26 2026,241,55,45,18,1348,795,845,1299,725,1419
3rd Feb 26 2026,529,12,28,18,1141,1003,748,1396,704,1440
2nd Feb 26 2026,77,75,16,19,452,1693,371,1774,532,1613
1st Feb 26 2026,58,238,8,4,436,1708,359,1785,493,1651
30th Jan 26 2026,170,96,14,6,669,1473,495,1647,603,1539
29th Jan 26 2026,141,62,24,5,534,1608,433,1709,571,1571
28th Jan 26 2026,350,19,12,6,539,1602,425,1716,558,1583
27th Jan 26 2026,100,74,4,10,308,1836,323,1821,485,1659
23rd Jan 26 2026,55,212,2,6,274,1867,295,1846,477,1664
22nd Jan 26 2026,184,55,3,4,364,1777,372,1769,546,1595
21st Jan 26 2026,58,148,21,2,232,1908,291,1849,487,1653
20th Jan 26 2026,30,377,25,1,255,1884,317,1822,522,1617
19th Jan 26 2026,43,90,30,2,449,1692,473,1668,623,1518
16th Jan 26 2026,73,31,27,2,534,1603,533,1604,672,1465
14th Jan 26 2026,85,21,7,1,522,1614,552,1584,686,1450
13th Jan 26 2026,71,17,5,1,484,1652,521,1615,674,1462
12th Jan 26 2026,61,74,6,3,423,1716,502,1637,666,1473
9th Jan 26 2026,17,102,4,3,427,1707,534,1600,684,1450
8th Jan 26 2026,15,140,7,3,664,1471,698,1437,769,1366
7th Jan 26 2026,67,18,14,3,1059,1076,913,1222,856,1279
6th Jan 26 2026,43,26,16,1,1022,1112,877,1257,842,1292
5th Jan 26 2026,64,38,15,1,1139,997,934,1202,867,1269
2nd Jan 26 2026,101,11,12,1,1315,818,953,1180,869,1264
1st Jan 26 2026,64,16,9,2,1074,1060,828,1306,815,1319
31st Dec 25 2025,85,15,7,2,1049,1083,805,1327,812,1320
30th Dec 25 2025,57,35,9,2,772,1358,686,1444,761,1369
29th Dec 25 2025,43,47,13,0,749,1385,714,1420,765,1369
26th Dec 25 2025,64,19,19,0,927,1204,765,1366,794,1337
24th Dec 25 2025,57,15,13,0,1079,1051,801,1329,812,1318
23rd Dec 25 2025,66,16,9,2,1129,1001,807,1323,820,1310
22nd Dec 25 2025,115,13,8,1,1011,1121,748,1384,803,1329
19th Dec 25 2025,91,17,9,1,698,1431,639,1490,760,1369
18th Dec 25 2025,40,30,11,1,489,1639,536,1592,716,1412
17th Dec 25 2025,32,55,13,1,495,1631,567,1559,724,1402
16th Dec 25 2025,38,29,14,0,622,1504,616,1510,756,1370
15th Dec 25 2025,79,21,16,1,744,1381,672,1453,778,1347
12th Dec 25 2025,99,11,9,3,694,1426,650,1471,760,1361
11th Dec 25 2025,77,16,5,3,503,1616,559,1560,725,1395
10th Dec 25 2025,53,29,7,2,388,1727,478,1637,709,1407
9th Dec 25 2025,133,15,1,2,424,1691,514,1601,714,1402
8th Dec 25 2025,18,241,3,3,319,1798,462,1655,686,1432
5th Dec 25 2025,31,36,3,3,540,1574,619,1495,783,1332
4th Dec 25 2025,31,28,3,4,530,1584,639,1475,791,1324
3rd Dec 25 2025,18,42,1,3,534,1579,636,1477,808,1306
2nd Dec 25 2025,28,34,5,2,647,1466,708,1405,827,1287
1st Dec 25 2025,64,37,6,3,728,1386,741,1374,852,1263
28th Nov 25 2025,56,21,2,3,754,1355,762,1348,858,1252
27th Nov 25 2025,53,20,2,3,742,1365,755,1353,853,1255
26th Nov 25 2025,83,13,3,2,747,1359,759,1348,867,1240
25th Nov 25 2025,71,13,5,3,557,1548,643,1464,816,1291
24th Nov 25 2025,35,136,6,6,516,1592,622,1487,794,1315
21st Nov 25 2025,31,35,6,4,606,1496,694,1410,848,1256
20th Nov 25 2025,39,24,9,4,760,1342,820,1283,887,1216
19th Nov 25 2025,43,42,7,3,787,1313,825,1276,905,1196
18th Nov 25 2025,39,36,12,3,774,1324,833,1266,906,1193
17th Nov 25 2025,96,50,11,2,939,1162,906,1196,953,1149
14th Nov 25 2025,75,44,12,2,871,1224,874,1222,930,1166
13th Nov 25 2025,71,49,12,2,852,1241,870,1224,957,1137
12th Nov 25 2025,104,28,8,2,886,1205,902,1190,965,1127
11th Nov 25 2025,68,52,7,8,740,1353,812,1282,924,1170
10th Nov 25 2025,81,89,11,7,740,1354,812,1283,926,1169
7th Nov 25 2025,73,38,11,2,667,1423,809,1281,924,1166
6th Nov 25 2025,45,146,13,2,606,1483,807,1282,912,1177
4th Nov 25 2025,39,28,15,0,880,1208,967,1121,1013,1075
3rd Nov 25 2025,97,37,17,0,1099,992,1082,1009,1055,1036
31st Oct 25 2025,43,30,12,0,978,1106,1015,1069,1025,1059
30th Oct 25 2025,51,23,10,0,1131,953,1097,987,1057,1027
29th Oct 25 2025,89,23,11,0,1167,916,1104,979,1068,1015
28th Oct 25 2025,62,29,13,1,1002,1086,998,1090,1029,1059
27th Oct 25 2025,80,36,19,1,1027,1067,1010,1084,1051,1043
24th Oct 25 2025,49,26,17,3,985,1103,974,1114,1015,1073
23rd Oct 25 2025,77,48,19,3,1072,1016,1015,1073,1040,1048
21st Oct 25 2025,56,2,22,0,1127,960,1028,1059,1046,1041
20th Oct 25 2025,95,43,14,2,941,1152,916,1177,1001,1092
17th Oct 25 2025,44,42,11,1,848,1237,860,1225,967,1118
16th Oct 25 2025,78,34,13,2,935,1147,922,1160,1000,1082
15th Oct 25 2025,90,27,13,2,832,1250,873,1209,966,1116
14th Oct 25 2025,43,66,24,3,679,1401,783,1297,928,1152
13th Oct 25 2025,55,43,17,4,859,1224,904,1179,993,1090
10th Oct 25 2025,85,25,19,3,1007,1071,975,1103,1032,1046
9th Oct 25 2025,92,39,31,5,912,1168,927,1153,1008,1072
8th Oct 25 2025,78,26,30,2,824,1253,878,1199,992,1085
7th Oct 25 2025,62,33,22,1,909,1166,934,1141,1008,1067
6th Oct 25 2025,83,35,19,1,938,1136,946,1128,1007,1067
3rd Oct 25 2025,128,13,11,1,909,1163,927,1145,1023,1050
1st Oct 25 2025,126,8,12,1,690,1379,787,1282,965,1105
30th Sep 25 2025,43,29,8,2,488,1575,616,1447,883,1181
29th Sep 25 2025,63,63,14,3,456,1609,624,1441,881,1185
26th Sep 25 2025,14,114,18,1,450,1607,615,1442,886,1172
25th Sep 25 2025,41,37,21,1,749,1307,895,1161,1011,1046
24th Sep 25 2025,54,29,19,2,943,1112,1056,999,1074,982
23rd Sep 25 2025,67,24,21,2,1117,937,1158,896,1116,939
22nd Sep 25 2025,80,39,26,2,1215,844,1202,858,1157,903
19th Sep 25 2025,71,20,21,1,1396,658,1300,756,1179,877
18th Sep 25 2025,57,17,20,1,1444,609,1307,747,1173,881
17th Sep 25 2025,76,18,24,1,1458,592,1301,750,1168,883
16th Sep 25 2025,80,14,17,1,1395,655,1245,806,1140,911
15th Sep 25 2025,88,18,14,1,1311,742,1125,929,1090,964
12th Sep 25 2025,55,12,16,0,1216,833,1075,975,1057,993
11th Sep 25 2025,54,23,23,0,1219,830,1064,986,1044,1006
10th Sep 25 2025,94,20,18,0,1208,841,1052,998,1047,1003
9th Sep 25 2025,67,27,24,0,1017,1031,912,1137,989,1060
8th Sep 25 2025,127,17,32,1,1004,1047,893,1159,997,1055
5th Sep 25 2025,87,12,26,1,906,1141,861,1187,957,1091
4th Sep 25 2025,51,28,18,2,945,1102,858,1190,975,1073
3rd Sep 25 2025,113,12,15,0,1047,998,909,1137,990,1056
2nd Sep 25 2025,120,23,10,1,868,1176,785,1261,949,1097
1st Sep 25 2025,127,16,11,2,732,1315,703,1345,912,1136
29th Aug 25 2025,51,24,8,2,513,1530,574,1470,829,1215
28th Aug 25 2025,29,62,6,2,526,1516,591,1452,845,1198
26th Aug 25 2025,29,63,11,3,631,1406,689,1349,906,1132
25th Aug 25 2025,74,34,23,0,943,1097,893,1148,1003,1038
22nd Aug 25 2025,53,18,22,0,911,1125,897,1140,988,1049
21st Aug 25 2025,60,20,20,0,1020,1017,959,1079,1004,1034
